Aeg,Temperatuur,Niiskus,&Otilde;hur&otilde;hk,Tuulekiirus,Tuulesuund,Sademed,Kiirgusvoog
2021-12-0107:10:00,-7.36289473684,87.7461403509,987.098933333,6.48214776346244,277.932327170521,0,1.90173334164
2021-12-0107:15:00,-7.30257142857,87.4895824176,987.158033333,5.94616419280928,278.35430139005,0,1.62835634703
2021-12-0107:20:00,-7.23797802198,87.2367692308,987.252166667,6.64290871884782,280.15305010172,0,1.83056461216
2021-12-0107:25:00,-7.16572368421,86.9865789474,987.368533333,6.36022635158551,280.312917300206,0,1.79291005027
2021-12-0107:30:00,-7.13458333333,87.1060087719,987.4617,5.71942857864752,279.928360912946,0,2.43774313775
2021-12-0107:35:00,-7.08850220264,87.2176651982,987.5313,5.6655858987129,280.186842957456,0,1.84312976093
2021-12-0107:40:00,-7.02617582418,87.0801098901,987.556633333,6.27078080552197,281.532860620873,0,1.66751749726
2021-12-0107:45:00,-6.93728070175,86.7792763158,987.612333333,6.56881445508603,281.69030186731,0,1.40374477002
2021-12-0107:50:00,-6.85544052863,86.4205506608,987.677933333,6.17106906871919,285.299722618018,0,1.12384285304
2021-12-0107:55:00,-6.79092307692,86.3209010989,987.728633333,6.15545557577562,280.753564757155,0,1.47152744997
2021-12-0108:00:00,-6.6957300885,85.8294469027,987.800333333,6.53750925410966,285.614415563824,0,1.24614667557
2021-12-0108:05:00,-6.63944812362,85.6412803532,987.81345515,6.12989636291992,280.016733303816,0,1.29163965742
2021-12-0108:10:00,-6.61661538462,85.7019120879,987.888766667,5.70541376862192,282.899217511274,0,1.39319960767
2021-12-0108:15:00,-6.56810154525,85.7378145695,987.937266667,6.12456350473724,284.290626305074,0,1.76798787839
2021-12-0108:20:00,-6.48203539823,85.3112168142,988.020333333,6.19114684727425,283.397602916037,0,1.99469515457
2021-12-0108:25:00,-6.35655629139,84.6256953642,988.070766667,6.29711269029197,284.418366594903,0,2.0537390984
2021-12-0108:30:00,-6.30869469027,84.3984734513,988.160733333,5.8863708788702,283.587144957438,0,2.25807786803
2021-12-0108:35:00,-6.29119469027,84.6603097345,988.205833333,5.86326064556044,287.105435137065,0,1.99134100291
2021-12-0108:40:00,-6.1846460177,84.2205088496,988.193266667,5.82732772956677,283.914307126339,0,3.15870796816
2021-12-0108:45:00,-6.06918141593,83.5453097345,988.197966667,5.81045110507901,287.425540767473,0,3.77422258969
2021-12-0108:50:00,-6.01419426049,83.500419426,988.2852,5.12492003797376,286.949659641572,0,4.32523062491
2021-12-0108:55:00,-5.94925110132,83.1447797357,988.2803,5.77586497323369,286.307565438247,0,4.95328870484
2021-12-0109:00:00,-5.87514412417,82.7768736142,988.323266667,5.73538272677329,286.111205494946,0,5.37964871886
2021-12-0109:05:00,-5.82791574279,82.7135698448,988.397,5.08068810737723,284.424268122292,0,5.7289158228
2021-12-0109:10:00,-5.79292035398,82.9071902655,988.4926,5.58403334356215,285.462632755277,0,7.10385894067
2021-12-0109:15:00,-5.74035476718,82.8672062084,988.529766667,4.55418930255125,285.165226918462,0,6.51674026303
2021-12-0109:20:00,-5.69097130243,82.8525827815,988.587466667,4.61175753230865,283.472083114216,0,7.88340272707
2021-12-0109:25:00,-5.65715231788,82.8662030905,988.651960133,5.52440006477576,286.378283215272,0,10.1872242055
2021-12-0109:30:00,-5.56650442478,82.459380531,988.779333333,4.65410592973541,295.127541662866,0,10.3664885034
2021-12-0109:35:00,-5.482172949,82.0561419069,988.828333333,4.48520824665954,291.463950304956,0,13.1217838103
2021-12-0109:40:00,-5.4344345898,81.8330155211,988.867133333,4.98729760415008,284.632413210063,0,14.42381771
2021-12-0109:45:00,-5.51161504425,82.723119469,988.950966667,6.08212982243999,279.747954496127,0,17.5322859096
2021-12-0109:50:00,-5.5560619469,83.4028761062,989.069,5.75943706336006,281.602160117403,0,16.9138515758
2021-12-0109:55:00,-5.58398663697,83.8204008909,989.1343,5.25573521362087,283.90168477255,0,18.9537983896
2021-12-0110:00:00,-5.55044247788,83.8972566372,989.168666667,5.09548132093661,280.884267122499,0,23.9180110507
2021-12-0110:05:00,-5.52154525386,83.8166887417,989.212666667,5.81989431123014,282.71750965031,0,24.0958754031
2021-12-0110:10:00,-5.48387168142,83.7564823009,989.2584,5.04196088808158,282.612191503065,0,22.9278290674
2021-12-0110:15:00,-5.41373893805,83.2578318584,989.278366667,5.67173129224128,283.349343512243,0,25.3343586789
2021-12-0110:20:00,-5.36108888889,83.0370888889,989.272433333,5.84538469233539,286.117913887205,0,27.510834243
2021-12-0110:25:00,-5.34906873614,83.3122616408,989.2932,6.2700902608081,285.313110396723,0,29.6723774263
2021-12-0110:30:00,-5.31471238938,83.1105088496,989.352833333,5.62721119488202,283.924067410994,0,32.3375738148
2021-12-0110:35:00,-5.31917777778,83.4995555556,989.381433333,5.71676809958603,282.809167462566,0,33.1330035719
2021-12-0110:40:00,-5.30456570156,83.6098218263,989.396,5.59468325945367,283.451000468881,0,36.260613014
2021-12-0110:45:00,-5.25664444444,83.3967111111,989.429066667,5.41911655918323,285.446197919531,0,39.5274476474
2021-12-0110:50:00,-5.21718403548,83.319135255,989.4812,4.82869961015788,284.103033558812,0,44.0980277678
2021-12-0110:55:00,-5.1610864745,83.0096452328,989.520966667,5.325503475292,283.472368871857,0,44.1084634297
2021-12-0111:00:00,-5.11288248337,82.7662971175,989.527740864,5.22730162350667,282.493497870042,0,43.9918022789
2021-12-0111:05:00,-5.09867256637,83.11,989.555433333,5.23649195657264,284.988912277081,0,48.5004856577
2021-12-0111:10:00,-5.08345132743,83.3574778761,989.620966667,5.07668948356111,283.279229540501,0,52.6450121819
2021-12-0111:15:00,-5.0578713969,83.1398891353,989.648,5.12059482453102,284.287700414213,0,51.4764908796
2021-12-0111:20:00,-5.02458980044,83.1547450111,989.7185,5.74458220162098,285.448449918614,0,52.6260506127
2021-12-0111:25:00,-4.97057649667,82.8685144124,989.775366667,6.06119961732916,283.568459283775,0,54.3213992437
2021-12-0111:30:00,-4.90305309735,82.2156858407,989.796533333,6.04439055610425,282.804287073118,0,55.3868402905
2021-12-0111:35:00,-4.87215555556,82.1167111111,989.8097,6.36796465619663,282.955091836132,0,50.3926962386
2021-12-0111:40:00,-4.84791574279,82.1527937916,989.8266,5.74658617913593,283.408189787044,0,49.7069704265
2021-12-0111:45:00,-4.82218543046,81.959602649,989.8372,6.44424069004103,285.103572300045,0,48.2209996931
2021-12-0111:50:00,-4.80423503326,81.9500886918,989.938933333,6.09929142560383,281.76307764587,0,47.131036753
2021-12-0111:55:00,-4.77293986637,81.603518931,990.0231,6.31508743614691,288.147345852618,0,46.7266141183
2021-12-0112:00:00,-4.72198675497,81.0703532009,990.063066667,5.92813802640167,285.502748400385,0,46.2870749532
2021-12-0112:05:00,-4.70519911504,81.1954424779,990.156666667,4.2978789969023,290.75023744136,0,42.7874314088
2021-12-0112:10:00,-4.66150776053,80.6379600887,990.205966667,4.44348501418087,291.882759854929,0,41.9679883842
2021-12-0112:15:00,-4.62555555556,80.1863777778,990.186466667,4.84008716652024,290.436810903839,0,49.663946005
2021-12-0112:20:00,-4.61002212389,80.0634734513,990.256245847,5.63297436043457,283.159815444745,0,46.3684308335
2021-12-0112:25:00,-4.63042128603,80.7545454545,990.273633333,5.52113152626142,284.412861887591,0,50.1790311772
2021-12-0112:30:00,-4.58348115299,80.2972283814,990.302433333,5.27252189882708,285.54112542672,0,45.7812138528
2021-12-0112:35:00,-4.56438053097,80.384159292,990.3605,5.08436203662897,286.058935833687,0,42.4805547427
2021-12-0112:40:00,-4.57044444444,80.8961111111,990.443433333,4.4132971378252,285.184949777178,0,43.7880246997
2021-12-0112:45:00,-4.57931111111,81.4165111111,990.5096,5.47087344278265,286.366658063762,0,40.927642346
2021-12-0112:50:00,-4.58962305987,81.896097561,990.563933333,5.26794211668297,285.029723758442,0,39.437962699
2021-12-0112:55:00,-4.56396895787,81.9680044346,990.64,5.36533407524898,285.748775489511,0,38.3949885934
2021-12-0113:00:00,-4.53704697987,81.9466666667,990.680333333,4.5757350632925,285.159024244925,0,38.3957547759
2021-12-0113:05:00,-4.53412026726,82.1844320713,990.7688,4.63745382098901,285.048998357494,0,36.256262193
2021-12-0113:10:00,-4.52204444444,82.182,990.7974,4.51532123675726,286.128643046836,0,29.5754478974
2021-12-0113:15:00,-4.5110467706,82.4399554566,990.826533333,4.5359961514733,286.893962205436,0,31.0138335667
2021-12-0113:20:00,-4.50498886414,82.5971937639,990.925233333,4.13765192746408,281.681194074543,0,35.2677432199
2021-12-0113:25:00,-4.49926829268,82.8572505543,991.0437,4.45798518967806,284.55744035483,0,31.4265287459
2021-12-0113:30:00,-4.50108888889,83.4080444444,991.101866667,4.76438652131771,284.406666456028,0,32.2893874656
2021-12-0113:35:00,-4.51496674058,83.9800665188,991.1322,4.49524997547566,282.137746744852,0,30.3752494499
2021-12-0113:40:00,-4.49868888889,84.3915111111,991.2482,3.52234045727382,283.677922854053,0,28.7052100802
2021-12-0113:45:00,-4.47833702882,84.3289135255,991.344950166,4.45636192901352,284.970501178174,0,30.6119468985
2021-12-0113:50:00,-4.44975555556,83.9295333333,991.3052,4.83628390585743,285.872763174143,0,31.5221685177
2021-12-0113:55:00,-4.41837416481,83.2702895323,991.288533333,5.29083440436803,285.883416214929,0,29.046667124
2021-12-0114:00:00,-4.40266075388,83.0108425721,991.294733333,4.95452706130268,284.147335473492,0,28.8447473229
2021-12-0114:05:00,-4.39425720621,82.8940798226,991.374433333,4.38057512906569,283.065806615949,0,27.0613560939
2021-12-0114:10:00,-4.37806666667,82.5444222222,991.4161,4.48641081586167,284.542005974031,0,21.1434651417
2021-12-0114:15:00,-4.33703786192,81.8773051225,991.442466667,3.87465697738021,286.467301528501,0,18.2935561286
2021-12-0114:20:00,-4.29853006682,80.9316481069,991.473666667,4.25265878173748,286.367440321933,0,14.3593643036
2021-12-0114:25:00,-4.25363028953,79.7167037862,991.533366667,4.53918079901876,285.065874668427,0,15.6021448342
2021-12-0114:30:00,-4.23695555556,79.3352666667,991.6064,4.22292926872811,286.770676608935,0,17.2981544903
2021-12-0114:35:00,-4.19146666667,78.3164444444,991.681066667,3.61130366493144,288.191322783795,0,14.9775636786
2021-12-0114:40:00,-4.12596452328,76.079113082,991.727366667,3.45549983288517,293.321983258128,0,12.8571813604
2021-12-0114:45:00,-4.13412416851,75.7808203991,991.761266667,4.40428637148107,285.115453948782,0,11.1178304046
2021-12-0114:50:00,-4.12492273731,75.8175717439,991.785466667,4.28763617891931,289.760687656491,0,9.52791298338
2021-12-0114:55:00,-4.16679287305,76.5704454343,991.850333333,4.23663483437733,284.30429976862,0,6.5534901625
2021-12-0115:00:00,-4.17982300885,76.3951106195,991.897666667,4.3386668504869,285.004949970539,0,5.31323280861
2021-12-0115:05:00,-4.15268292683,75.4531929047,991.959766667,4.77482635132756,284.715536081389,0,5.8347624866
2021-12-0115:10:00,-4.15893333333,75.0782222222,991.9732,4.7457061324484,284.524774642827,0,5.40234961842
2021-12-0115:15:00,-4.10603104213,71.8519068736,991.971428571,5.38201009322828,296.0566549781,0,3.55069325443
2021-12-0115:20:00,-4.09902439024,71.0735476718,992.010566667,3.50036569348475,290.096346602423,0,4.57882976063
2021-12-0115:25:00,-4.15356984479,72.0380044346,992.1028,3.2412157298184,284.632983699866,0,2.53075395102
2021-12-0115:30:00,-4.17794247788,72.5969026549,992.1795,3.93442976608251,284.932839908029,0,1.71281744794
2021-12-0115:35:00,-4.21380530973,73.3507300885,992.1767,4.07442029676888,284.113437014762,0,1.21616699591
2021-12-0115:40:00,-4.23168888889,73.1119111111,992.222133333,4.68671829240473,283.470234443822,0,0.817960583865
2021-12-0115:45:00,-4.22227876106,72.2467699115,992.260733333,5.16713864527689,285.781545869289,0,0.308300926639
2021-12-0115:50:00,-4.18068888889,70.2765333333,992.274833333,4.67969043317474,289.362430933372,0,0.832796736249
2021-12-0115:55:00,-4.16306666667,70.0127111111,992.3166,4.71427888990517,293.986542042775,0,0.657861198794
2021-12-0116:00:00,-4.20806666667,71.0420444444,992.362566667,3.54558135685187,292.056977953529,0,0.864959611317
2021-12-0116:05:00,-4.20454545455,70.60172949,992.352266667,4.18707049886911,294.185348884698,0,0.511633067099
2021-12-0116:10:00,-4.17458980044,69.8315077605,992.387566667,4.56420577012188,287.713470311765,0,0.4194081121
2021-12-0116:15:00,-4.22470066519,70.6309090909,992.424766667,4.25926423809099,288.990480309999,0,0.848116015055
2021-12-0116:20:00,-4.242,71.0217333333,992.377733333,4.06588306940926,293.335939351948,0,1.98351602711
2021-12-0116:25:00,-4.29538802661,71.7297560976,992.389866667,3.79798588501785,293.22283592906,0,1.39162959489
2021-12-0116:30:00,-4.27179600887,70.6074501109,992.434266667,3.38339414338825,298.244354840427,0,1.85371170698
2021-12-0116:35:00,-4.31202222222,71.9502888889,992.533866667,2.13601418230636,290.273752923524,0,1.73613914715
2021-12-0116:40:00,-4.34476718404,73.2918847007,992.623421927,3.11714753716795,286.758472580142,0,2.32252698264
2021-12-0116:45:00,-4.38574279379,73.5817738359,992.6803,4.26402697818558,283.055549172215,0,1.66443753672
2021-12-0116:50:00,-4.36733924612,72.4557649667,992.685033333,5.18644418991845,283.53075635253,0,1.32415640902
2021-12-0116:55:00,-4.35308035714,71.0960267857,992.667966667,5.34713823882172,283.279270833149,0,0.631341585102
2021-12-0117:00:00,-4.3664380531,71.6513938053,992.7175,4.48488524877975,284.213940819313,0,0.616561502202
2021-12-0117:05:00,-4.41790286976,73.1451214128,992.7539,4.53289901890887,282.927943009581,0,0.606021360603
2021-12-0117:10:00,-4.48798672566,74.4476327434,992.7256,4.56966900188685,283.273467366391,0,0.874648514856
2021-12-0117:15:00,-4.51185840708,74.1744911504,992.712066667,3.76645166463263,284.394187352684,0,0.722299087897
2021-12-0117:20:00,-4.53048780488,73.8235476718,992.778533333,4.26222243553759,283.341123258263,0,0
2021-12-0117:25:00,-4.56274336283,74.1252433628,992.8417,4.26695164374632,282.463728674024,0,0.45781195865
2021-12-0117:30:00,-4.57781938326,74.2433920705,992.798933333,4.08184938491257,279.343018030374,0,0.525424516949
2021-12-0117:35:00,-4.61088105727,74.320154185,992.789866667,3.86953547908548,279.769390265648,0,0.621952660947
2021-12-0117:40:00,-4.62415011038,73.9717660044,992.815666667,4.2596684633966,282.115972805951,0,0.255779662171
2021-12-0117:45:00,-4.61969094923,73.4193377483,992.796533333,4.81435666324201,284.459926054258,0,0
2021-12-0117:50:00,-4.65757709251,74.0313876652,992.865266667,3.52260151862622,284.209588676383,0,0.157944634932
2021-12-0117:55:00,-4.67659292035,74.6525442478,992.887,2.92314398537535,286.903632059059,0,0.391459861366
2021-12-0118:00:00,-4.6657300885,74.5330309735,992.937933333,2.8108937960811,287.546625478544,0,0.532102307513
2021-12-0118:05:00,-4.70240618102,74.8396688742,993.029933333,3.35687732114775,291.5847221134,0,0.518567361999
2021-12-0118:10:00,-4.75677704194,75.2886092715,993.042724252,3.18527316936432,297.851651942304,0,0.805578273289
2021-12-0118:15:00,-4.79869469027,75.7530309735,993.0682,2.72870299782648,294.56097855421,0,0.459752884669
2021-12-0118:20:00,-4.79485651214,73.3922958057,993.079033333,3.29128365748021,321.179904729357,0,0.665535465479
2021-12-0118:25:00,-4.64254988914,69.6111529933,993.0908,3.82414767247589,344.129241723218,0,0.864864167977
2021-12-0118:30:00,-4.62451111111,69.6023333333,993.1089,2.71318880554116,343.662448884732,0,0.787282367513
2021-12-0118:35:00,-4.68745575221,70.6024778761,993.121366667,2.04603818428938,321.180492013672,0,0.564951973312
2021-12-0118:40:00,-4.76428888889,71.5244,993.200766667,1.56780327019297,323.891057964984,0,0.808041826467
2021-12-0118:45:00,-4.83055309735,72.1999336283,993.231533333,1.261718882963,324.181997376914,0,0.643853088365
2021-12-0118:50:00,-4.85217777778,72.8552,993.1997,1.48454930277209,298.703353247638,0,0.715057915796
2021-12-0118:55:00,-4.90690265487,73.6016371681,993.141,1.27632017988969,306.236009376963,0,0.80653224337
2021-12-0119:00:00,-4.92264317181,74.3459471366,993.125066667,1.17836586235814,298.175983534834,0,1.38492129158
2021-12-0119:05:00,-4.95687912088,74.9759120879,993.130833333,1.35728504978499,299.028512301282,0,2.04736112701
2021-12-0119:10:00,-4.96203090508,75.538388521,993.144133333,1.35798783042023,296.407811895347,0,1.78858992862
2021-12-0119:15:00,-4.9980794702,76.0373289183,993.118733333,1.69754920931782,295.489513490978,0,2.27198532611
2021-12-0119:20:00,-5.03801324503,76.7337748344,993.092433333,2.10620147715291,285.575307269377,0,2.28942412147
2021-12-0119:25:00,-5.09119469027,77.691880531,993.055033333,1.58580141781249,294.631912879154,0,1.98438907594
2021-12-0119:30:00,-5.14129955947,78.0778414097,992.959133333,1.24115960913463,297.239462488563,0,0.632773062942
2021-12-0119:35:00,-5.17243362832,78.1609734513,992.895780731,1.23761452851062,293.680296401044,0,0
2021-12-0119:40:00,-5.18072847682,78.1489845475,992.864,1.21634492784531,292.926379326059,0,0.222898629967
2021-12-0119:45:00,-5.18490066225,78.3959161148,992.925833333,0.906785146747073,287.062119561934,0,0.196482005067
2021-12-0119:50:00,-5.21106430155,78.5524833703,992.993066667,1.33541641469056,278.542858194345,0,0.388411015879
2021-12-0119:55:00,-5.2925,78.5640929204,993.056166667,2.01179645621768,279.410000089083,0,0.115108357204
2021-12-0120:00:00,-5.32253863135,78.7757615894,993.101033333,2.08890793494937,282.114057706126,0,0.463089386264
2021-12-0120:05:00,-5.31915742794,78.6601108647,993.071766667,1.54750342007341,284.968761799322,0,0.3502766351
2021-12-0120:10:00,-5.34057522124,78.1774778761,993.129733333,1.2324049933238,278.344387350172,0,0
2021-12-0120:15:00,-5.4204845815,78.0155066079,993.208566667,1.64632717266684,270.770829303825,0,0
